Lote;Material;Lote interno;Lote Proveedor;Qty;Fecha recepción;Fecha traslado
23026;100012;0000746139;3009264;275,544;27/02/2023;01/03/2023
23026;100004;0000655969;2414151;80;25/11/2021;17/03/2023
23026;100005;0000723171;M3889;12,04;04/11/2022;03/03/2023
23026;100006;0000676218;C4837;22,448;07/03/2022;17/01/2023
23026;100007;0000742567;2202239;2088,8;09/02/2023;23/03/2023
23026;100008;0000710843;A1673579;17,96;05/09/2022;22/03/2023
23026;100001;0000737133;AM1798471;7,16;12/01/2023;22/03/2023
23026;100009;0000669097;0002124409;960,184;01/02/2022;17/03/2023
23026;100002;0000676155;K53821835;47,968;07/03/2022;15/03/2023
23026;100010;0000694159;0002066677;12,096;02/06/2022;22/11/2022
23026;100011;0000735476;0002219885;400,312;03/01/2023;15/03/2023
23026;100012;0000746139;3009264;1972,8;27/02/2023;01/03/2023
23027;100001;0000737133;AM1798471;72,072;12/01/2023;22/03/2023
23027;100002;0000676155;K53821835;72,088;07/03/2022;15/03/2023
23027;100003;0000644272;0005070897;4800;04/10/2021;15/05/2023
23027;100004;0000655974;2414142;316,8;25/11/2021;23/03/2023
23027;100005;0000723171;M3889;96,456;04/11/2022;03/03/2023
23027;100006;0000676218;C4837;177,896;07/03/2022;04/07/2023
23027;100007;0000742567;2202239;8352;09/02/2023;23/03/2023
23027;100008;0000710843;A1673579;144,536;05/09/2022;27/03/2023
23027;100001;0000737133;AM1798471;57,792;12/01/2023;22/03/2023
23027;100009;0000719593;0002231404;7680;17/10/2022;19/05/2023
23027;100002;0000676155;K53821835;384,296;07/03/2022;26/07/2023
23027;100010;0000736921;0002235436;96,096;11/01/2023;07/07/2023
23027;100011;0000737873;0002246451;3200;17/01/2023;22/05/2023
23027;100012;0000746149;3009264;7872;27/02/2023;12/06/2023
23027;100004;0000655974;2414142;44,8;25/11/2021;23/03/2023
23027;100004;0000655969;2414151;3,2;25/11/2021;17/03/2023
23027;100005;0000723171;M3889;7,2;04/11/2022;03/03/2023
23027;100006;0000676218;C4837;13,44;07/03/2022;17/01/2023
23027;100007;0000742567;2202239;1253,04;09/02/2023;23/03/2023
23027;100008;0000710843;A1673579;10,8;05/09/2022;27/03/2023
23027;100001;0000737133;AM1798471;4,32;12/01/2023;22/03/2023
23027;100009;0000719593;0002231404;576,8;17/10/2022;28/03/2023
23027;100002;0000676155;K53821835;28,96;07/03/2022;15/03/2023
23027;100010;0000736921;0002235436;7,2;11/01/2023;24/03/2023
23027;100011;0000737873;0002246451;240;17/01/2023;27/03/2023
23027;100012;0000746149;3009264;1180,8;27/02/2023;30/03/2023
23028;100001;0000737133;AM1798471;72,04;12/01/2023;22/03/2023
23028;100002;0000676155;K53821835;72,712;07/03/2022;15/03/2023
23028;100003;0000644272;0005070897;4800;04/10/2021;24/03/2023
23028;100004;0000655977;2414144;188,4;25/11/2021;30/03/2023
23028;100004;0000655974;2414142;131,6;25/11/2021;23/03/2023
23028;100005;0000723171;M3889;96,184;04/11/2022;03/03/2023
23028;100006;0000676218;C4837;177,696;07/03/2022;17/01/2023
23028;100007;0000742567;2202239;8352;09/02/2023;23/03/2023
23028;100008;0000710843;A1673579;144,096;05/09/2022;27/03/2023
23028;100001;0000737133;AM1798471;57,68;12/01/2023;22/03/2023
23028;100009;0000719593;0002231404;7680;17/10/2022;28/03/2023
23028;100002;0000676155;K53821835;386,848;07/03/2022;15/03/2023
23028;100010;0000736921;0002235436;96,04;11/01/2023;24/03/2023
23028;100011;0000737873;0002246451;3200;17/01/2023;27/03/2023
23028;100012;0000746149;3009264;7872;27/02/2023;30/03/2023
23028;100004;0000655974;2414142;44,8;25/11/2021;23/03/2023
23028;100004;0000655969;2414151;3,2;25/11/2021;17/03/2023
23028;100005;0000723171;M3889;7,2;04/11/2022;03/03/2023
23028;100006;0000676218;C4837;13,44;07/03/2022;17/01/2023
23028;100007;0000742567;2202239;1253,04;09/02/2023;23/03/2023
23028;100008;0000710843;A1673579;10,8;05/09/2022;27/03/2023
23028;100001;0000737133;AM1798471;4,32;12/01/2023;22/03/2023
23028;100009;0000719593;0002231404;576,8;17/10/2022;28/03/2023
23028;100002;0000676155;K53821835;28,96;07/03/2022;15/03/2023
23028;100010;0000736921;0002235436;7,2;11/01/2023;24/03/2023
23028;100011;0000737873;0002246451;240;17/01/2023;27/03/2023
23028;100012;0000746149;3009264;1180,8;27/02/2023;30/03/2023
23029;100001;0000737133;AM1798471;76,8;12/01/2023;22/03/2023
23029;100002;0000676155;K53821835;76,8;07/03/2022;06/04/2023
23029;100003;0000644272;0005070897;4800;04/10/2021;05/04/2023
23029;100004;0000655977;2414144;316,8;25/11/2021;30/03/2023
23029;100005;0000723171;M3889;96;04/11/2022;03/03/2023
23029;100006;0000676218;C4837;177,744;07/03/2022;17/01/2023
23029;100007;0000736215;2202239;8000;09/01/2023;03/04/2023
23029;100007;0000742567;2202239;352;09/02/2023;23/03/2023
23029;100008;0000710843;A1673579;144,36;05/09/2022;27/03/2023
23029;100001;0000737133;AM1798471;57,696;12/01/2023;22/03/2023
23029;100009;0000719593;0002231404;7688;17/10/2022;12/04/2023
23029;100002;0000676155;K53821835;385,6;07/03/2022;06/04/2023
23029;100010;0000736921;0002235436;96;11/01/2023;24/03/2023
23029;100011;0000737873;0002246451;3200;17/01/2023;13/04/2023
23029;100012;0000746149;3009264;7872;27/02/2023;12/04/2023
23029;100004;0000655977;2414144;80;25/11/2021;30/03/2023
23029;100005;0000723171;M3889;11,936;04/11/2022;03/03/2023
23029;100006;0000676218;C4837;22,536;07/03/2022;17/01/2023
23029;100007;0000742567;2202239;2088,04;09/02/2023;23/03/2023
23029;100008;0000710843;A1673579;18,024;05/09/2022;27/03/2023
23029;100001;0000737133;AM1798471;7,208;12/01/2023;22/03/2023
23029;100009;0000719593;0002231404;960,296;17/10/2022;12/04/2023
23029;100002;0000676155;K53821835;48,08;07/03/2022;06/04/2023
23029;100010;0000736921;0002235436;12,048;11/01/2023;24/03/2023
23029;100011;0000737873;0002246451;400,736;17/01/2023;13/04/2023
23029;100012;0000746149;3009264;1968;27/02/2023;12/04/2023
23030;100001;0000737133;AM1798471;72;12/01/2023;22/03/2023
23030;100002;0000676155;K53821835;72;07/03/2022;06/04/2023
23030;100003;0000644272;0005070897;4800;04/10/2021;05/04/2023
23030;100004;0000655977;2414144;318,4;25/11/2021;30/03/2023
23030;100005;0000723171;M3889;96;04/11/2022;03/03/2023
23030;100006;0000676218;C4837;177,6;07/03/2022;17/01/2023
23030;100007;0000736215;2202239;8000;09/01/2023;03/04/2023
23030;100007;0000742567;2202239;352;09/02/2023;23/03/2023
23030;100008;0000710843;A1673579;144;05/09/2022;27/03/2023
23030;100001;0000737133;AM1798471;57,608;12/01/2023;22/03/2023
23030;100009;0000719593;0002231404;7680;17/10/2022;12/04/2023
23030;100002;0000676155;K53821835;384;07/03/2022;06/04/2023
23030;100010;0000736921;0002235436;96;11/01/2023;24/03/2023
23030;100011;0000737873;0002246451;3200;17/01/2023;13/04/2023
23030;100012;0000746149;3009264;7872;27/02/2023;12/04/2023
23030;100004;0000655977;2414144;80;25/11/2021;30/03/2023
23030;100005;0000723171;M3889;11,936;04/11/2022;03/03/2023
23030;100006;0000676218;C4837;22,536;07/03/2022;17/01/2023
23030;100007;0000742567;2202239;2088,04;09/02/2023;23/03/2023
23030;100008;0000710843;A1673579;18,024;05/09/2022;27/03/2023
23030;100001;0000737133;AM1798471;7,208;12/01/2023;22/03/2023
23030;100009;0000719593;0002231404;960,296;17/10/2022;12/04/2023
23030;100002;0000676155;K53821835;48,08;07/03/2022;06/04/2023
23030;100010;0000736921;0002235436;12,048;11/01/2023;24/03/2023
23030;100011;0000737873;0002246451;400,736;17/01/2023;13/04/2023
23030;100012;0000746149;3009264;1968;27/02/2023;12/04/2023
23031;100001;0000737133;AM1798471;76,8;12/01/2023;22/03/2023
23031;100002;0000676155;K53821835;76,8;07/03/2022;06/04/2023
23031;100003;0000644272;0005070897;4800;04/10/2021;05/04/2023
23031;100004;0000655977;2414144;316,8;25/11/2021;30/03/2023
23031;100005;0000723171;M3889;96;04/11/2022;03/03/2023
23031;100006;0000676218;C4837;176;07/03/2022;17/01/2023
23031;100007;0000736215;2202239;8000;09/01/2023;03/04/2023
23031;100007;0000742567;2202239;352;09/02/2023;23/03/2023
23031;100008;0000710843;A1673579;143,216;05/09/2022;27/03/2023
23031;100001;0000737133;AM1798471;57,608;12/01/2023;22/03/2023
23031;100009;0000719593;0002231404;7680;17/10/2022;12/04/2023
23031;100002;0000676155;K53821835;384,072;07/03/2022;06/04/2023
23031;100010;0000736921;0002235436;96,072;11/01/2023;24/03/2023
23031;100011;0000737873;0002246451;3200;17/01/2023;17/04/2023
23031;100012;0000746149;3009264;7872;27/02/2023;12/04/2023
23032;100001;0000737133;AM1798471;72;12/01/2023;22/03/2023
23032;100002;0000676155;K53821835;72;07/03/2022;06/04/2023
23032;100003;0000644272;0005070897;4800;04/10/2021;05/04/2023
23032;100004;0000655977;2414144;178;25/11/2021;30/03/2023
23032;100004;0000655980;2414141;138,8;25/11/2021;06/04/2023
23032;100005;0000723171;M3889;96,072;04/11/2022;03/03/2023
23032;100006;0000676218;C4837;177,6088;07/03/2022;17/01/2023
23032;100007;0000736215;2202239;8000;09/01/2023;03/04/2023
23032;100007;0000742567;2202239;352;09/02/2023;23/03/2023
23032;100008;0000710843;A1673579;144;05/09/2022;27/03/2023
23032;100001;0000737133;AM1798471;57,616;12/01/2023;22/03/2023
23032;100009;0000719593;0002231404;7680;17/10/2022;12/04/2023
23032;100002;0000676155;K53821835;384;07/03/2022;06/04/2023
23032;100010;0000736921;0002235436;96;11/01/2023;24/03/2023
23032;100011;0000737873;0002246451;3200;17/01/2023;17/04/2023
23032;100012;0000746149;3009264;7872;27/02/2023;12/04/2023
23033;100001;0000751297;88844;223,52;21/03/2023;18/04/2023
23033;100002;0000676155;K53821835;223,2;07/03/2022;06/04/2023
23033;100003;0000644272;0005070897;4800;04/10/2021;20/04/2023
23033;100004;0000655980;2414141;316,8;25/11/2021;06/04/2023
23033;100005;0000723171;M3889;96,8;04/11/2022;03/03/2023
23033;100006;0000676218;C4837;177,944;07/03/2022;17/01/2023
23033;100007;0000736215;2202239;8352;09/01/2023;03/04/2023
23033;100008;0000710843;A1673579;143,976;05/09/2022;27/03/2023
23033;100001;0000737133;AM1798471;57,608;12/01/2023;22/03/2023
23033;100009;0000719593;0002231404;7688;17/10/2022;18/04/2023
23033;100002;0000676155;K53821835;386,4;07/03/2022;06/04/2023
23033;100010;0000736921;0002235436;96,56;11/01/2023;24/03/2023
23033;100011;0000737873;0002246451;3200;17/01/2023;18/04/2023
23033;100012;0000746149;3009264;7872;27/02/2023;12/04/2023
23033;100004;0000655980;2414141;67,2;25/11/2021;06/04/2023
23033;100005;0000723171;M3889;10,08;04/11/2022;03/03/2023
23033;100006;0000676218;C4837;18,824;07/03/2022;17/01/2023
23033;100007;0000736215;2202239;1753,6;09/01/2023;03/04/2023
23033;100008;0000710843;A1673579;15,168;05/09/2022;27/03/2023
23033;100001;0000737133;AM1798471;6,048;12/01/2023;22/03/2023
23033;100009;0000719593;0002231404;806,4;17/10/2022;18/04/2023
23033;100002;0000676155;K53821835;40,328;07/03/2022;06/04/2023
23033;100010;0000736921;0002235436;10,08;11/01/2023;24/03/2023
23033;100011;0000737873;0002246451;336;17/01/2023;18/04/2023
23033;100012;0000746149;3009264;1668,8;27/02/2023;12/04/2023
23034;100001;0000751297;88844;223,52;21/03/2023;18/04/2023
23034;100002;0000676155;K53821835;223,2;07/03/2022;06/04/2023
23034;100003;0000644272;0005070897;4800;04/10/2021;20/04/2023
23034;100004;0000655980;2414141;316,8;25/11/2021;06/04/2023
23034;100005;0000723171;M3889;96,072;04/11/2022;03/03/2023
23034;100006;0000676218;C4837;177,792;07/03/2022;17/01/2023
23034;100007;0000736215;2202239;8352;09/01/2023;03/04/2023
23034;100008;0000710843;A1673579;144,816;05/09/2022;27/03/2023
23034;100001;0000737133;AM1798471;57,616;12/01/2023;22/03/2023
23034;100009;0000719593;0002231404;7680;17/10/2022;18/04/2023
23034;100002;0000676155;K53821835;383,968;07/03/2022;06/04/2023
23034;100010;0000736921;0002235436;96,072;11/01/2023;24/04/2023
23034;100011;0000737873;0002246451;3200,184;17/01/2023;18/04/2023
23034;100012;0000746149;3009264;7872;27/02/2023;12/04/2023
23034;100004;0000655980;2414141;67,2;25/11/2021;06/04/2023
23034;100005;0000723171;M3889;10,08;04/11/2022;03/03/2023
23034;100006;0000676218;C4837;18,824;07/03/2022;17/01/2023
23034;100007;0000736215;2202239;1753,6;09/01/2023;03/04/2023
23034;100008;0000710843;A1673579;15,168;05/09/2022;27/03/2023
23034;100001;0000737133;AM1798471;6,048;12/01/2023;22/03/2023
23034;100009;0000719593;0002231404;806,4;17/10/2022;18/04/2023
23034;100002;0000676155;K53821835;40,328;07/03/2022;06/04/2023
23034;100010;0000736921;0002235436;10,08;11/01/2023;24/03/2023
23034;100011;0000737873;0002246451;336;17/01/2023;18/04/2023
23034;100012;0000746149;3009264;1668,8;27/02/2023;12/04/2023
23035;100001;0000751297;88844;223,52;21/03/2023;18/04/2023
23035;100002;0000676155;K53821835;223,2;07/03/2022;06/04/2023
23035;100003;0000644272;0005070897;4800;04/10/2021;20/04/2023
23035;100004;0000655980;2414141;316,8;25/11/2021;06/04/2023
23035;100005;0000723171;M3889;96,056;04/11/2022;03/03/2023
23035;100006;0000676218;C4837;177,632;07/03/2022;17/01/2023
23035;100007;0000736215;2202239;8352;09/01/2023;03/04/2023
23035;100008;0000710843;A1673579;144,032;05/09/2022;27/03/2023
23035;100001;0000737133;AM1798471;57,632;12/01/2023;22/03/2023
23035;100009;0000719593;0002231404;7680;17/10/2022;18/04/2023
23035;100002;0000676155;K53821835;384,184;07/03/2022;06/04/2023
23035;100010;0000736921;0002235436;96,744;11/01/2023;24/04/2023
23035;100011;0000737873;0002246451;3200,376;17/01/2023;18/04/2023
23035;100012;0000746149;3009264;7872;27/02/2023;12/04/2023
23035;100004;0000655980;2414141;67,2;25/11/2021;06/04/2023
23035;100005;0000723171;M3889;10,08;04/11/2022;03/03/2023
23035;100006;0000676218;C4837;18,824;07/03/2022;17/01/2023
23035;100007;0000736215;2202239;1753,6;09/01/2023;03/04/2023
23035;100008;0000710843;A1673579;15,168;05/09/2022;27/03/2023
23035;100001;0000737133;AM1798471;6,048;12/01/2023;22/03/2023
23035;100009;0000719593;0002231404;806,4;17/10/2022;18/04/2023
23035;100002;0000676155;K53821835;40,328;07/03/2022;06/04/2023
23035;100010;0000736921;0002235436;10,08;11/01/2023;24/03/2023
23035;100011;0000737873;0002246451;336;17/01/2023;18/04/2023
23035;100012;0000746149;3009264;1668,8;27/02/2023;12/04/2023
23036;100001;0000751297;88844;72;21/03/2023;18/04/2023
23036;100002;0000676155;K53821835;72,088;07/03/2022;06/04/2023
23036;100003;0000644272;0005070897;4800;04/10/2021;05/05/2023
23036;100004;0000657923;2414152;207,2;07/12/2021;28/04/2023
23036;100004;0000655980;2414141;112,8;25/11/2021;06/04/2023
23036;100005;0000723171;M3889;96,088;04/11/2022;03/03/2023
23036;100006;0000676218;C4837;177,616;07/03/2022;17/01/2023
23036;100007;0000736215;2202239;8352;09/01/2023;03/04/2023
23036;100008;0000710843;A1673579;144;05/09/2022;27/03/2023
23036;100001;0000751297;88844;57,624;21/03/2023;18/04/2023
23036;100009;0000719593;0002231404;7680;17/10/2022;04/05/2023
23036;100002;0000676155;K53821835;384,368;07/03/2022;06/04/2023
23036;100010;0000736921;0002235436;96,104;11/01/2023;24/04/2023
23036;100011;0000737873;0002246451;3200;17/01/2023;04/05/2023
23036;100012;0000755318;3009264;7872;11/04/2023;28/04/2023
23036;100004;0000657923;2414152;79,2;07/12/2021;28/04/2023
23036;100005;0000723171;M3889;12,008;04/11/2022;03/03/2023
23036;100006;0000676218;C4837;22,392;07/03/2022;17/01/2023
23036;100007;0000736215;2202239;2089,584;09/01/2023;03/04/2023
23036;100008;0000729570;A1673579;18,08;30/11/2022;11/05/2023
23036;100001;0000751297;88844;7,224;21/03/2023;18/04/2023
23036;100009;0000719593;0002231404;960;17/10/2022;04/05/2023
23036;100002;0000676155;K53821835;48,232;07/03/2022;06/04/2023
23036;100010;0000736921;0002235436;12,016;11/01/2023;15/05/2023
23036;100011;0000737873;0002246451;399,64;17/01/2023;18/05/2023
23036;100012;0000746165;3009264;1968;27/02/2023;17/05/2023
