LOTE;ID bioreactor;Fecha/hora inicio;Fecha/hora fin;Volumen de cultivo;Turbidez inicio cultivo;Turbidez final culttivo;Viabilidad final cultivo;;;
23039;14618;22/05/2023 7:50;23/05/2023 7:50;168,72;12,32;22,32;1,15E+08;;;
23040;14618;29/05/2023 7:30;30/05/2023 12:00;165,60;13,92;32,32;1,54E+08;;;
23041;14618;29/05/2023 7:30;30/05/2023 7:20;165,60;13,92;24,48;1,07E+08;;;
23042;13172;30/05/2023 7:30;31/05/2023 6:40;79,20;14,32;24,64;1,09E+08;;;
23044;14618;05/06/2023 8:00;06/06/2023 9:20;84,00;14,48;19,68;7,58E+07;;;
23043;14618;11/06/2023 7:35;12/06/2023 7:35;84,00;13,20;24,24;8,72E+07;;;
23045;14618;11/06/2023 7:35;12/06/2023 7:35;81,60;13,20;24,24;8,72E+07;;;
23046;13172;12/06/2023 9:00;13/06/2023 7:15;82,80;13,20;23,36;8,64E+07;;;
23047;13172;12/06/2023 9:00;13/06/2023 7:15;83,20;13,20;23,36;8,64E+07;;;
23048;13171;19/06/2023 7:20;20/06/2023 7:15;165,60;14,16;27,04;8,64E+07;;;
23049;13171;19/06/2023 7:20;20/06/2023 7:15;165,60;14,16;27,04;8,64E+07;;;
23050;14618;20/06/2023 7:40;21/06/2023 8:00;167,20;14,24;25,20;8,24E+07;;;
23051;14618;20/06/2023 7:40;21/06/2023 8:00;167,20;14,24;25,20;8,24E+07;;;
23052;13172;25/06/2023 7:30;26/06/2023 7:45;165,60;15,20;28,88;8,80E+07;;;
23053;13172;25/06/2023 7:30;26/06/2023 7:45;165,60;15,20;28,88;8,80E+07;;;
23054;14618;26/06/2023 7:45;27/06/2023 7:50;163,20;14,56;26,00;8,56E+07;;;
23055;14618;26/06/2023 7:45;27/06/2023 7:50;163,20;14,56;26,00;8,56E+07;;;
23056;13171;02/07/2023 8:35;03/07/2023 8:35;168,80;NA;27,04;1,12E+08;;;
23057;13171;02/07/2023 8:35;03/07/2023 8:35;168,80;NA;27,04;1,12E+08;;;
23060;14618;03/07/2023 7:30;04/07/2023 7:30;166,40;16,08;27,60;1,03E+08;;;
23061;14618;03/07/2023 7:30;04/07/2023 7:30;166,40;16,08;27,60;1,03E+08;;;
23062;14618;09/07/2023 7:45;10/07/2023 7:45;166,40;16,16;22,80;1,02E+08;;;
23063;14618;09/07/2023 7:45;10/07/2023 7:45;166,40;16,16;22,80;1,02E+08;;;
23064;13171;10/07/2023 7:20;11/07/2023 7:20;165,12;15,92;24,88;1,12E+08;;;
23065;13171;10/07/2023 7:20;11/07/2023 7:20;165,12;15,92;24,88;1,12E+08;;;
23067;13171;16/07/2023 7:30;17/07/2023 7:35;168;16,08;25,52;1,30E+08;;;
23068;13172;17/07/2023 7:35;18/07/2023 7:35;165,6;14,16;21,92;1,31E+08;;;
23069;13172;17/07/2023 7:35;18/07/2023 7:35;165,6;14,16;21,92;1,31E+08;;;
23066;13171;23/07/2023 8:30;24/07/2023 8:40;164;14,24;26,32;8,64E+07;;;
23070;13171;23/07/2023 8:30;24/07/2023 8:40;164;14,24;26,32;8,64E+07;;;
23071;14618;24/07/2023 7:00;25/07/2023 7:00;167,76;12,72;25,52;7,68E+07;;;
23072;14618;24/07/2023 7:00;25/07/2023 7:00;167,76;12,72;25,52;7,68E+07;;;
23073;13171;30/07/2023 7:10;31/07/2023 9:15;168;15,36;29,84;1,11E+08;;;
23074;13172;31/07/2023 7:15;01/08/2023 7:30;84,16;17,84;29,2;8,32E+07;;;
23075;13171;30/07/2023 7:10;31/07/2023 9:15;168;15,36;29,84;1,11E+08;;;
23076;14618;31/07/2023 7:00;01/08/2023 7:00;84,16;14,16;25,36;9,20E+07;;;
23077;13171;03/09/2023 7:45;04/09/2023 12:00;160,16;18,24;26,56;8,32E+07;;;
23078;13171;03/09/2023 7:45;04/09/2023 8:00;160,16;18,24;26,56;8,32E+07;;;
23079;13172;04/09/2023 7:45;05/09/2023 8:00;164;14,56;28,16;9,28E+07;;;
23080;13172;04/09/2023 7:45;05/09/2023 8:00;164;14,56;28,16;9,28E+07;;;
23081;13171;11/09/2023 8:00;12/09/2023 8:00;166,4;14,64;24,48;7,98E+07;;;
23082;13171;11/09/2023 8:00;12/09/2023 8:00;166,4;14,64;24,48;7,98E+07;;;
23083;13172;12/09/2023 7:45;13/09/2023 7:15;167,2;14,72;28,4;9,12E+07;;;
23084;13172;12/09/2023 7:45;13/09/2023 7:15;167,2;14,72;28,4;9,12E+07;;;
23085;13171;24/09/2023 8:15;25/09/2023 8:15;160;15,44;29,44;1,00E+08;;;
23086;13171;24/09/2023 8:15;25/09/2023 8:15;160;15,44;29,44;1,00E+08;;;
23087;14618;25/09/2023 7:30;26/09/2023 9:30;160;15,04;27,44;8,25E+07;;;
23088;14618;25/09/2023 7:30;26/09/2023 9:30;160;15,04;27,44;8,25E+07;;;
23089;14618;01/10/2023 8:30;02/10/2023 8:30;160;16,8;26,56;8,64E+07;;;
23090;14618;01/10/2023 8:30;02/10/2023 8:30;160;16,8;26,56;8,64E+07;;;
23091;13172;02/10/2023 7:30;03/10/2023 8:30;160;15,44;25,6;9,60E+07;;;
23092;13172;02/10/2023 7:30;03/10/2023 8:30;160;15,44;25,6;9,60E+07;;;
23094;13172;08/10/2023 8:00;09/10/2023 13:15;160;21,52;23,36;9,44E+07;;;
23095;13172;08/10/2023 8:00;09/10/2023 13:15;160;21,52;23,36;9,44E+07;;;
23096;13172;16/10/2023 7:30;17/10/2023 9:00;160;16,64;28,48;9,12E+07;;;
23097;14618;16/10/2023 7:30;17/10/2023 9:00;80;17,28;30,8;8,96E+07;;;
23098;13172;16/10/2023 7:30;17/10/2023 9:00;160;16,64;28,48;9,12E+07;;;
23099;13172;22/10/2023 9:30;23/10/2023 10:00;160;16,8;30;8,16E+07;;;
23100;13172;22/10/2023 9:30;23/10/2023 10:00;160;16,8;30;8,16E+07;;;
23101;14618;23/10/2023 7:20;24/10/2023 7:00;160;14,96;23,28;8,24E+07;;;
23102;14618;23/10/2023 7:20;24/10/2023 7:00;160;14,96;23,28;8,24E+07;;;
23103;14618;30/10/2023 9:00;31/10/2023 10:00;160;15,12;23,52;8,32E+07;;;
23104;13172;30/10/2023 9:45;31/10/2023 9:15;80;16,16;27,76;9,04E+07;;;
23105;14618;30/10/2023 9:00;31/10/2023 10:00;160;15,12;23,52;8,32E+07;;;
23108;14618;05/11/2023 9:45;06/11/2023 9:00;160;16,64;28,88;9,92E+07;;;
23109;14618;05/11/2023 9:45;06/11/2023 9:00;160;16,64;28,88;9,92E+07;;;
23110;13171;06/11/2023 12:03;07/11/2023 11:30;160;16,16;25,76;8,40E+07;;;
23111;13171;06/11/2023 12:03;07/11/2023 11:30;160;16,16;25,76;8,40E+07;;;
23112;14618;12/11/2023 9:10;13/11/2023 8:50;160;16,48;27,6;9,76E+07;;;
23113;14618;12/11/2023 9:10;13/11/2023 8:50;160;16,48;27,6;9,76E+07;;;
P23462;13171;13/11/2023 7:25;14/11/2023 7:20;80;12,96;25,52;1,42E+08;;;
23114;13172;13/11/2023 7:25;14/11/2023 7:00;160;14,88;26,24;1,04E+08;;;
23117;13172;13/11/2023 7:25;14/11/2023 7:00;160;14,88;26,24;1,04E+08;;;
23118;13171;19/11/2023 7:30;20/11/2023 8:20;160;16,88;26,56;1,04E+08;;;
23119;13171;19/11/2023 7:30;20/11/2023 8:20;160;16,88;26,56;1,04E+08;;;
23120;13172;20/11/2023 7:45;21/11/2023 7:30;80;16,24;26,8;1,05E+08;;;
23121;14618;20/11/2023 7:50;21/11/2023 7:30;80;11,2;24,4;1,43E+08;;;
23124;13171;26/11/2023 7:35;27/11/2023 7:30;83,2;15,92;25,52;8,88E+07;;;
23125;13171;26/11/2023 7:35;27/11/2023 7:30;84;15,92;25,52;8,88E+07;;;
23126;14618;27/11/2023 7:15;28/11/2023 7:00;80,8;14;28,48;1,34E+08;;;
23127;14618;27/11/2023 7:15;28/11/2023 7:00;80,4;14;28,48;1,34E+08;;;
23131;13171;03/12/2023 6:55;04/12/2023 7:00;84;15,44;22,32;1,45E+08;;;
23132;14618;03/12/2023 7:00;04/12/2023 7:00;176;15,6;24,96;1,02E+08;;;
23133;14618;03/12/2023 7:00;04/12/2023 7:00;176;15,6;24,96;1,02E+08;;;
23136;13171;17/12/2023 7:45;18/12/2023 8:40;166,4;15,68;32,64;1,22E+08;;;
23137;13171;17/12/2023 7:45;18/12/2023 13:55;166,4;15,68;26,56;1,67E+08;;;
23138;13172;18/12/2023 7:55;19/12/2023 6:50;160;12,88;18,08;2,52E+08;;;
23139;13172;18/12/2023 7:55;19/12/2023 13:15;160;12,88;21,84;5,68E+07;;;
24004;13172;15/01/2024 7:30;16/01/2024 11:30;168;14,48;24,48;7,91E+07;;;
24002;14618;16/01/2024 9:00;17/01/2024 9:05;168;13,68;19,36;8,88E+07;;;
24003;14618;16/01/2024 9:00;17/01/2024 9:05;168;13,68;19,36;8,88E+07;;;
24005;14618;19/01/2024 7:15;20/01/2024 8:15;82,64;15,28;30,48;7,98E+07;;;
24007;13171;19/01/2024 7:30;20/01/2024 8:25;167,12;14,4;32,88;7,94E+07;;;
24008;13171;19/01/2024 7:30;20/01/2024 8:25;167,12;14,4;32,88;7,94E+07;;;
24009;13172;22/01/2024 7:30;23/01/2024 6:45;160;14,4;23,68;9,12E+07;;;
24010;13171;26/01/2024 7:00;27/01/2024 7:10;160;15,52;30,64;9,52E+07;;;
24012;13172;22/01/2024 7:30;23/01/2024 6:45;160;14,4;23,68;9,12E+07;;;
24020;13171;26/01/2024 7:00;27/01/2024 7:10;160;15,52;30,64;9,52E+07;;;
24019;13171;02/02/2024 7:20;03/02/2024 7:00;80;14,32;26,48;1,27+e08;;;
24020;13171;26/01/2024 7:00;27/01/2024 7:10;160;15,52;30,64;9,52E+07;;;
24021;14618;02/02/2024 7:10;03/02/2024 8:30;80;15,52;26,48;1,02E+08;;;
24014;13171;09/02/2024 7:35;10/02/2024 7:25;160;12,16;17,68;3,70E+07;;;
24027;13171;09/02/2024 7:35;10/02/2024 7:25;160;12,16;17,68;3,70E+07;;;
24031;13171;16/02/2024 7:30;17/02/2024 8:00;82,4;15,04;28,96;6,66E+07;;;
24035;13171;01/03/2024 7:00;02/03/2024 7:30;168,4;14,08;20,88;8,80E+07;;;
24036;13171;01/03/2024 7:00;02/03/2024 7:30;168,4;14,08;20,88;8,80E+07;;;
24041;13171;08/03/2024 7:20;09/03/2024 8:10;163,2;13,28;24,64;1,34E+08;;;
24042;13171;08/03/2024 7:20;09/03/2024 8:10;163,2;13,28;24,64;1,34E+08;;;
24043;13172;11/03/2024 7:15;12/03/2024 7:25;165,6;13,84;23,2;1,10E+08;;;
24045;13172;11/03/2024 7:15;12/03/2024 7:25;165,6;13,84;23,2;1,10E+08;;;
24044;13171;15/03/2024 7:20;16/03/2024 9:00;167,2;14,8;25,28;1,05E+08;;;
24049;13171;15/03/2024 7:20;16/03/2024 9:00;167,2;14,8;25,28;1,05E+08;;;
24050;14618;22/03/2024 7:24;23/03/2024 8:28;168,32;14,72;25,92;1,02E+08;;;
24051;14618;22/03/2024 7:24;23/03/2024 8:28;168,32;14,72;25,92;1,02E+08;;;
24055;13172;12/04/2024 7:14;13/04/2024 8:05;168,048;13,52;25,6;1,59E+08;;;
24056;13172;12/04/2024 7:14;13/04/2024 8:05;168,048;13,52;25,6;1,59E+08;;;
24054;14618;15/04/2024 7:17;16/04/2024 7:48;168;13,28;24,16;1,22E+08;;;
24057;14618;15/04/2024 7:17;16/04/2024 7:48;168;13,28;24,16;1,22E+08;;;
24060;13171;19/04/2024 7:46;20/04/2024 8:35;168;14,88;26,56;1,26E+08;;;
24061;13171;19/04/2024 7:46;20/04/2024 8:35;168;14,88;26,56;1,26E+08;;;
24063;13172;22/04/2024 7:19;23/04/2024 10:05;164,88;14,16;20,8;7,26E+07;;;
24064;13172;22/04/2024 7:19;23/04/2024 10:05;164,88;14,16;20,8;7,26E+07;;;
24067;13171;26/04/2024 7:17;27/04/2024 10:22;168,16;16,96;26,4;1,20E+08;;;
24070;13171;26/04/2024 7:17;27/04/2024 10:22;168,16;16,96;26,4;1,20E+08;;;
24071;14618;29/04/2024 7:45;30/04/2024 9:30;80,4;17,84;27,36;8,40E+07;;;
24072;13172;13/05/2024 8:16;14/05/2024 8:33;84;13,04;24,32;1,45E+08;;;
24073;13171;13/05/2024 7:54;14/05/2024 8:31;167,6;13,84;24,32;1,42E+08;;;
24074;14618;17/05/2024 7:15;18/05/2024 8:08;168,032;14,08;23,68;1,30E+08;;;
24075;13171;13/05/2024 7:54;14/05/2024 8:31;167,6;13,84;24,32;1,42E+08;;;
24076;14618;17/05/2024 7:15;18/05/2024 8:08;168,032;14,08;23,68;1,30E+08;;;
24077;13172;20/05/2024 7:14;21/05/2024 7:01;166,88;16,24;26,48;1,22E+08;;;
24078;13172;20/05/2024 7:14;21/05/2024 7:01;166,88;16,24;26,48;1,22E+08;;;
24081;13172;27/05/2024 8:05;28/05/2024 7:54;161,2;16,24;25,52;1,22E+08;;;
24083;13171;24/05/2024 7:26;25/05/2024 8:55;166,24;14,08;26,32;1,25E+08;;;
24084;13171;24/05/2024 7:26;25/05/2024 8:55;166,24;14,08;26,32;1,25E+08;;;
24085;13172;27/05/2024 8:05;28/05/2024 7:54;161,2;16,24;25,52;1,22E+08;;;
24088;13171;31/05/2024 7:46;01/06/2024 7:56;166,8;16;25,52;1,30E+08;;;
24089;13171;31/05/2024 7:46;01/06/2024 7:56;166,8;16;25,52;1,30E+08;;;
24091;13172;03/06/2024 7:03;04/06/2024 7:03;166,8;17,2;25,6;1,04E+08;;;
24092;13172;03/06/2024 7:03;04/06/2024 7:03;166,8;17,2;25,6;1,04E+08;;;
24095;13171;10/06/2024 7:09;11/06/2024 7:34;168,24;12,08;21,44;8,32E+07;;;
24097;13171;10/06/2024 7:09;11/06/2024 7:34;168,24;12,08;21,44;8,32E+07;;;
24098;14618;14/06/2024 8:00;15/06/2024 11:04;86,536;17,44;29,6;5,42E+07;;;
24101;13171;28/06/2024 7:16;29/06/2024 7:06;167,52;16,16;28,08;9,12E+07;;;
24103;13171;28/06/2024 7:16;29/06/2024 7:06;167,52;16,16;28,08;9,12E+07;;;
24104;13172;01/07/2024 7:01;02/07/2024 8:01;169,04;14,4;26,32;8,24E+07;;;
24105;13172;01/07/2024 7:01;02/07/2024 8:01;169,04;14,4;26,32;8,24E+07;;;
24108;13171;05/07/2024 7:04;06/07/2024 7:22;168,8;17,52;28,08;9,28E+07;;;
;;;;;;;;;;
;;;;;;;;;;
